type,a,b,weight,length_m
pipe,H-101,C-101,3,35.38
pipe,C-101,E-101,2,31.00
pipe,C-101,E-102,2.5,30.15
pipe,E-102,V-101,1.5,13.72
pipe,V-101,P-101,1,20.69
pipe,P-101,C-101,1,23.00
pipe,C-101,P-102,1,19.64
pipe,P-102,E-103,1,17.30
pipe,E-103,H-101,1.5,21.51
rack_span_used,,RACK_1,,20.47
rack_span_used,,RACK_2,,0.02
total_pipe_length_m,,,,212.38
